job_id,photons,instance,wdao_wf_error,joint_wf_error,wdao_reproj_error,joint_reproj_error,wdao_estimate_s,wdao_final_solve_s,wdao_estimate_plus_final_solve_s
p100/sample04,100,4,0.06469689309597015,0.005483280401676893,0.1033286452293396,0.07491257041692734,51.86225330084562,108.95313908718526,160.8153923880309
p100/sample05,100,5,0.08469987660646439,0.005312337540090084,0.10786444693803787,0.07476334273815155,51.7090302631259,109.0963229238987,160.8053531870246
p100/sample06,100,6,0.12104897946119308,0.005662819370627403,0.12284447997808456,0.08059639483690262,51.67553243972361,108.91829060390592,160.59382304362953
p100/sample07,100,7,0.08087083697319031,0.0042496719397604465,0.11394792795181274,0.08496817201375961,51.886116936802864,108.98766223154962,160.87377916835248
p100/sample08,100,8,0.06517720222473145,0.004714208655059338,0.09431562572717667,0.06316512823104858,51.64928681589663,108.92374518327415,160.57303199917078
p100/sample09,100,9,0.07308941334486008,0.00669464934617281,0.11796468496322632,0.08505196869373322,51.6542673651129,108.98699674382806,160.64126410894096
p300/sample00,300,0,0.07343858480453491,0.001993535552173853,0.08079390227794647,0.0290755033493042,51.69624361023307,108.97565888427198,160.67190249450505
p300/sample01,300,1,0.07750272005796432,0.0023180153220891953,0.07469769567251205,0.027812035754323006,51.70887181721628,109.0779625326395,160.78683434985578
p300/sample02,300,2,0.06745223701000214,0.0022083516232669353,0.07412006705999374,0.03455139696598053,51.845041228458285,108.94560206308961,160.7906432915479
p300/sample03,300,3,0.08236359804868698,0.0017668193904682994,0.08084592968225479,0.02982208877801895,51.6150735411793,109.05141195096076,160.66648549214005
p300/sample04,300,4,0.054204054176807404,0.0015944099286571145,0.06569647043943405,0.028601104393601418,51.64079767279327,108.99199417978525,160.63279185257852
p300/sample05,300,5,0.0780240148305893,0.0023802402429282665,0.08161159604787827,0.02888638898730278,51.64517656341195,108.98965163901448,160.63482820242643
p300/sample06,300,6,0.12167628109455109,0.002377665601670742,0.09968020021915436,0.02931796945631504,51.66453482396901,108.90164719894528,160.5661820229143
p300/sample07,300,7,0.07837782055139542,0.002868551993742585,0.0724102333188057,0.03224349766969681,51.691270964220166,109.06811313889921,160.75938410311937
p300/sample08,300,8,0.09621481597423553,0.0013588638976216316,0.08394515514373779,0.02438763901591301,51.67899156734347,108.91557924449444,160.5945708118379
p300/sample09,300,9,0.08084388077259064,0.0025493053253740072,0.08855391293764114,0.03158462792634964,51.678366577252746,108.95916106365621,160.63752764090896
p1000/sample00,1000,0,0.08895126730203629,0.0011261245235800743,0.07627548277378082,0.012432136572897434,51.85600578598678,108.95780192129314,160.81380770727992
p1000/sample01,1000,1,0.09844531118869781,0.0012790235923603177,0.07371685653924942,0.011817596852779388,51.65192772820592,108.90704961493611,160.55897734314203
p1000/sample02,1000,2,0.12005828320980072,0.0009443737799301744,0.09235405921936035,0.013149735517799854,51.78608188405633,109.04866569302976,160.8347475770861
p1000/sample03,1000,3,0.0767461284995079,0.0011635762639343739,0.0766933485865593,0.012330492958426476,51.763015108183026,108.96526023931801,160.72827534750104
p1000/sample04,1000,4,0.09710477292537689,0.0010702010476961732,0.0778774544596672,0.011793282814323902,51.613446805626154,108.99465359374881,160.60810039937496
p1000/sample05,1000,5,0.06334416568279266,0.0007647007587365806,0.07563651353120804,0.011884277686476707,51.72738924250007,109.07133501581848,160.79872425831854
