index,name,photons,coefficient,psf_size,wf_length,requested_rms,phase_rms_error,wf_l2_error,volume_relative_l2,lf_relative_l2,noisy_lf_relative_l2,sensor_fit_relative_l2,standardized_residual_rms,relative_quasi_deviance,forward_relative_l2,forward_validation_s,solve_s,optics_setup_s,projection_setup_s,standalone_setup_and_solve_s,steps,peak_allocated_bytes,evaluation_s,save_s,case_wall_s
6,rms1_len21_06,30,0.1598532337090897,225,21,1.0,0.021097170189023018,0.021086977794766426,0.7797612547874451,0.25356796383857727,2.851594924926758,0.028850849717855453,0.9859445138469928,1.4996746813919095,5.556459200306563e-06,0.7789732366800308,194.84433758072555,5.996712405234575,0.026977211236953735,200.86802719719708,2300,5955400192,0.779342781752348,2.1776358652859926,198.7159175015986
7,rms1_len21_07,30,0.14634786857394494,225,21,1.0,0.029010670259594917,0.0289988461881876,0.7803406119346619,0.2710191011428833,3.1750872135162354,0.02881445549428463,0.9862218736375057,1.6276936843382526,5.625062385661295e-06,0.7783658988773823,194.68024479970336,5.978677215054631,0.026681460440158844,200.68560347519815,2300,5955400192,0.778250964358449,2.1998287178575993,198.49413323774934
8,rms1_len21_08,30,0.20052830837591837,225,21,1.0,0.014495502226054668,0.014491076581180096,0.755010724067688,0.19674289226531982,2.361010789871216,0.028966840356588364,0.9867811938943364,1.2153735812577198,5.718966349377297e-06,0.7789266128093004,195.17409249581397,5.705814689397812,0.026713930070400238,200.90662111528218,2300,5955400192,0.7800371125340462,1.898852150887251,198.68284812383354
9,rms1_len21_09,30,0.1504178170687744,225,21,1.0,0.04713813215494156,0.04710732400417328,0.8070516586303711,0.27461835741996765,2.988502025604248,0.02881411835551262,0.9851026460571474,1.5621010240549404,5.45445482202922e-06,0.7778657898306847,194.40930397436023,6.046737261116505,0.02682047337293625,200.48286170884967,2300,5955400192,0.7775753568857908,2.425126949325204,198.4415126312524
0,rms1_len21_shared,100,0.5539174428379614,225,21,1.0,0.004038503393530846,0.004035952966660261,0.6839317679405212,0.07735519856214523,0.8729384541511536,0.029848288744688034,0.9876578637021843,0.49245596084115895,5.626581696560606e-06,0.7728730849921703,194.58368546515703,6.026804614812136,0.02684294618666172,200.63733302615583,2300,5955400192,0.7781576886773109,2.252644382417202,198.55482106655836
1,rms1_len21_01,100,0.5829866912756507,225,21,1.0,0.005202159751206636,0.005200492683798075,0.6753466129302979,0.07199189066886902,0.8316828012466431,0.029904743656516075,0.9870005215631646,0.4707845539376664,5.649945705954451e-06,0.7780209369957447,195.14147120900452,6.0195521507412195,0.028266917914152145,201.1892902776599,2300,5955400192,0.779321601614356,1.737776955589652,198.49084600061178
2,rms1_len21_02,100,0.45836098599367836,225,21,1.0,0.009941324591636658,0.009936315938830376,0.7183831930160522,0.09183483570814133,1.0322304964065552,0.029622135683894157,0.9872761205179172,0.5810573453768192,5.568339474848472e-06,0.7787123490124941,194.77277733944356,5.737593125551939,0.02683274634182453,200.53720321133733,2300,5955400192,0.7784696463495493,2.1101167760789394,198.4989738408476
3,rms1_len21_03,100,0.523342717450033,225,21,1.0,0.004473207984119654,0.004471618682146072,0.6867275238037109,0.0786801129579544,0.9244976043701172,0.029758019372820854,0.9868420492862326,0.5176723445314461,5.639027676807018e-06,0.7759443707764149,194.6273534502834,5.987499626353383,0.027314815670251846,200.64216789230704,2300,5955400192,0.7783309277147055,2.2464058585464954,198.5535827446729
4,rms1_len21_04,100,0.5675779415045527,225,21,1.0,0.005483280401676893,0.00548136280849576,0.6990662217140198,0.07491257041692734,0.8404542207717896,0.02982902340590954,0.9859631201125065,0.481365101444082,5.565919309447054e-06,0.777703694999218,194.825383849442,5.996712405234575,0.026977211236953735,200.84907346591353,2300,5955400192,0.7793860398232937,2.0344839710742235,198.47310061380267
5,rms1_len21_05,100,0.560844902713486,225,21,1.0,0.005312337540090084,0.005310394801199436,0.7027257084846497,0.07476334273815155,0.8656527996063232,0.02986498922109604,0.9874519428645986,0.48800052642195824,5.6598014452902135e-06,0.7753621265292168,194.60824105329812,5.978677215054631,0.026681460440158844,200.6135997287929,2300,5955400192,0.7786267306655645,2.4175217635929585,198.71794549003243
6,rms1_len21_06,100,0.5328441123636323,225,21,1.0,0.005662819370627403,0.005660974886268377,0.6988624334335327,0.08059639483690262,0.8887182474136353,0.029750235378742218,0.9856134876850227,0.5078447917265007,5.556459200306563e-06,0.7790751196444035,195.16403313726187,5.705814689397812,0.026713930070400238,200.89656175673008,2300,5955400192,0.7797731403261423,1.6326598040759563,198.41062439978123
7,rms1_len21_07,100,0.4878262285798165,225,21,1.0,0.0042496719397604465,0.004247761331498623,0.699805498123169,0.08496817201375961,0.9868917465209961,0.029654985293745995,0.9862407958452569,0.5502160611412457,5.625062385661295e-06,0.7728145215660334,194.3995644338429,6.046737261116505,0.02682047337293625,200.47312216833234,2300,5955400192,0.7775158826261759,2.190033707767725,198.3436012081802
